IPS10,IPS11,IPS299,IPS12,IPS13,IPS18,IPS25,IPS32,IPS34,IPS38,IPS43,IPS307,IPS306,IPS14,IPS22,IPS26,IPS31,A0M051,A0M007,PMP,LHEL,LHELX,LHEM,LHNAG,LHUR,LHU680,LHU5,LHU14,LHU15,LHU26,LHU27,CES002,CES003,CES006,CES011,CES015,CES017,CES033,CES046,CES048,CES049,CES053,CES088,CES140,CES151,CES155,CES001,CES101,CES128,CES156,PMEMP,HSFR,HSNE,HSMW,HSSOU,HSWST,HSBR,HSBNE,HSBMW,HSBSOU,HSBWST,PMI,PMNO,PMDEL,PMNV,FM1,FM2,FMFBA,FMRRA,CCINRV,FSPCOM,FSPIN,FSDXP,FSPXE,FYFF,FYGM3,FYGM6,FYGT1,FYGT10,FYGT3,FYGT5,FYAAAC,FYBAAC,FYAC,EXRUS,EXRUK,EXRCAN,PWFSA,PWFCSA,PWIMSA,PWCMSA,PMCP,PUNEW,PU83,PU84,PU85,PUC,PUCD,PUS,PUXF,PUXHS,PUXM,PU45,PUXE,CES275,CES277,CES278,CES276,CES295,CES297,CES298,CES299,CES310,EXRSW,EXRJAN,PSCCOM,HHSNTN,sfygm3,sfygm6,sfygt1,sfygt10,sfygt5,sfyaaac,sfybaac,sfybac,CCIPY,HMOB,MOCMQ,MSONDQ,FCLS,FCSGV,FCLRE,FCLIN,FSTE,UTL11,UTL15,UTL17,UTL21,UTL22,UTL29,UTL31,UTL32,UTL33,GDP
0.025916,0.024098,0.029021,0.031232,0.10383,0.004562,0.036331,0.028478,0.039057,0.015242,0.026966,-0.0088203,-0.012667,0.26731,0.023809,0.22162,0.012919,0.0062672,-0.039014,10.2,1,0.029,9.18E-05,0.00010019,-0.1,0.4,-0.011533,-0.071096,-0.0054496,-0.0066445,-0.0042919,0.0034868,0.0033919,-0.012315,-0.012173,0.0072937,0.010824,0.0021906,0.00094919,0.002433,-0.0014925,0.0047296,0.0020052,-0.0073164,0,0.3,0.0018257,0.0043704,0.0058463,0.6,6,-0.0046772,0.44938,0.20926,-0.22503,-0.075497,-0.22262,0.33808,-0.057987,-0.50079,-0.28906,3.3,2.6,-7.5,-0.8,0,0.0013423,-0.0021059,-0.0025237,8.75E-05,-0.017594,-0.020505,0.09,-0.01774,0,-0.14,-0.11,-0.11,0.03,-0.13,-0.09,0.03,0.06,0.04,9.41E-05,0.00046836,0.0019953,0.0030257,0.0030166,-0.0032415,0.0032949,0.2,-0.001361,0,-0.0033278,0.0045767,0,0,0,0.0033841,0,-0.0033389,-0.0057527,0,0.0090498,0.0038986,0.009434,0,0.0052329,-0.031437,0.016631,0.028248,0.0024722,-0.0015934,-0.00048088,0.0040242,-1.2667,0.36,0.75,1.04,0.73,0.93,0.62,1.35,0.94,-0.0043353,-0.1466,-0.019193,-0.084006,-0.001056,-0.016287,0.0035524,0.0041408,0.027091,1.9934,-1.1482,2.9184,23.95,-0.5621,0.549,-0.5583,0.7844,2.0431,-0.0032792
-0.0089363,-0.0056866,-0.0034377,-0.011453,-0.01386,-0.010292,0.0064676,-0.013043,-0.016701,-0.0061479,-0.0077891,-0.0012651,0.010375,-0.033088,-0.01714,0.028002,-0.0011659,0.000581,-0.0022805,-13.3,0,0.072,0.004169,0.0047974,-0.4,-0.4,-0.1351,-0.010582,-0.084332,-0.088224,-0.08058,0.0047746,0.0058318,0.0071175,0.010537,0.0049599,0.0074007,0.0014057,0.0035873,0.0030554,0.0016789,0.004277,0.0039984,0.0022846,-0.3,-0.2,0.0043939,0.0046227,0.0058123,-0.5,-3.6,0.02435,0.43096,0.27676,-0.2633,0.047106,-0.22629,0.27948,-0.046199,-0.5826,-0.17043,-9.2,-12.9,-14.5,8.3,-0.00071454,0.0010055,-0.0031426,-0.017938,0.006212,-0.039545,-0.043824,0.17,-0.041857,-0.02,-0.39,-0.44,-0.37,-0.23,-0.26,-0.23,-0.05,0,-0.01,-0.00037648,0.0012611,-0.0014698,0,0,0.0032415,0,-2.9,0.001361,0.0044053,0,0.0045558,-0.0029895,0,0.0042105,0,0,0.0033389,0,0.0033058,0.0044944,0.007752,0.0046838,-0.0039293,-0.0010444,0,-0.0017376,-0.0026991,-0.0041237,0.0024699,0.00072124,-0.0060423,2.9,-0.01,0.33,0.69,0.52,0.72,0.59,1.37,0.95,0.0043353,0.017392,-0.015107,0.031532,-0.0079555,-0.018228,0.0035398,0.0082305,0.012954,-0.9508,0.9608,0.8108,-1.9494,0.7227,-1.493,0.0455,-1.0293,0.9002,0.0036615
-0.0090207,-0.0034245,-0.0011499,0.0011506,-0.019964,0.0091553,0.002144,-0.016548,-0.032091,0.00043879,-0.012368,0.037318,0.010269,-0.040244,0.026248,-0.042304,-0.0011673,0.00048391,-0.010029,-6.2,-2,-0.137,-0.014537,-0.0077237,0.6,-0.1,0.15205,0.079894,0.1313,0.23088,0.025318,-0.0055146,-0.011904,-0.0024636,-0.057987,-0.0036858,-0.0061097,-0.00015609,0.0050577,-0.00098748,0.0016389,-0.00071755,0.0027894,0.02362,-0.2,-0.1,-0.0010094,-0.0010858,-0.0037741,-0.3,-9.2,-0.27965,-0.18014,-0.3434,-0.39244,-0.05399,-0.35667,-0.055266,-0.34963,-0.69344,-0.067446,-4.5,-0.3,-2.9,-5.9,-0.00071505,0.0030105,-0.0012303,-0.0081181,0.0088009,-0.013719,-0.015046,0.07,-0.0078574,-0.13,-0.65,-0.69,-0.64,-0.24,-0.44,-0.38,-0.07,-0.09,-0.06,-0.00038447,0.00091565,-0.00084087,0.0090226,0.011976,0,0.00982,-3.6,0,0,-0.0033389,0.0045352,0.0029895,-0.0026008,0.0041929,0,0,0,-0.0096619,-0.0033058,0.0044743,0.037883,0,0.011742,-0.02112,-0.076722,-0.013129,-0.017265,-0.0082988,-0.0001614,0,0,-2,-0.53,-0.23,0.18,0.41,0.47,0.65,1.41,1.02,0.0064679,-0.1092,-0.018307,-0.015843,0.00053234,-0.0067114,0.0035273,0.0081633,-0.0084007,-1.3687,-4.4731,-2.3569,-4.9206,-0.7161,-0.259,0.1328,0.3987,-1.6326,0.0010515
-0.007959,0.0022856,0.0011499,0.0068824,-0.00119,0.010196,-0.010774,-0.023635,-0.036528,-0.0087996,-0.0079484,0.0012188,0.030186,-0.0024161,0.0051693,0.0020564,0.013936,0.0033808,-0.010774,-2.6,-1,0.002,0.01969,0.012878,-0.2,-0.4,0.040582,-0.11133,-0.067951,-0.10987,-0.020667,0.0074829,0.003761,0.0053542,0.041807,-0.00338,-0.0063636,0.00093618,0.0079772,0.014445,0.0030101,0.01724,0.0027816,0.0010552,0.3,-0.4,0.0064794,0.0032538,0.021011,-0.1,-6,-0.12925,0.22074,-0.0083161,-0.30738,-0.091146,-0.29476,0.074493,-0.094209,-0.64692,-0.16367,-2.5,-0.2,0.1,-5.2,-0.0014316,0.0023353,0.0001231,-0.0026898,0.014812,0.012822,0.012694,-0.04,0.011463,0.08,-0.08,-0.06,0.02,0.03,-0.02,-0.02,-0.04,-0.05,-0.07,0.0027508,0.0012957,0.012539,0,0,-0.0032415,0.003252,3.1,0.0044105,0.0021954,0,0.0045147,0.0029806,-0.0026076,0,0,0.0032103,0.0033278,0.0058083,0.0066007,0,-0.030191,0,-0.0038986,0.012726,0.09844,-0.0053004,-0.011987,0.0049875,0.00043802,-0.0010821,0.01901,-2,-0.69,-0.37,0.12,0.36,0.37,0.53,1.28,0.87,0.0085593,-0.080043,0.0069256,0.04199,0.0053079,0.0016821,0.0035149,0.0080972,0.054306,-0.9828,1.9064,-1.9919,-3.1941,-0.0736,-1.2112,0.8283,-0.8637,-1.1691,0.0002756
-0.00114,0.0056893,0.0068637,0.0056973,0.0094565,0.0033765,0.0032461,-0.0091543,-0.013618,0.0015623,-0.0057163,-0.012273,-0.02792,0.027461,0.0064207,0.0071606,0.0068958,0.0020711,0.010933,-4.8,0,0.011,0.0014847,0.0034658,-0.1,-0.7,-0.0098466,0.069392,-0.11709,-0.13077,-0.10253,-0.0051561,-0.0037094,-0.0103,0.0056432,-0.0050594,-0.0079301,-0.00093618,-0.0076068,-0.010949,-0.0011509,-0.013138,0.0011898,-0.012024,-0.1,0.3,-0.0062223,0.00027067,-0.014343,0,0.5,-0.14331,0.20689,0.025817,-0.32469,-0.14627,-0.25994,0.24439,-0.11074,-0.59248,-0.20141,-2.7,-6.2,3.4,-3,0,0.0026622,0.00044302,0.0067571,0.0041436,-0.0091934,-0.010482,0.04,-0.042273,-0.07,0.06,0.03,0.17,0.07,0.19,0.2,0.01,0.08,0.05,0.0044355,-0.0012426,0.015456,0,0,0,0,-3.4,0.0010151,0.0021906,-0.0033501,0,0,-0.0026144,0.0041754,0,0.0032,0,0,0,0,0.011429,0,0,-0.0074035,-0.021719,-0.0044385,-0.010257,0.0041374,-0.0032782,0.0007215,0.0039565,-2,-0.56,-0.27,0.36,0.5,0.64,0.61,1.43,0.99,0.00070998,0.14518,-0.011254,9.63E-05,0.0042261,0.0083682,0,0.0080322,0.010394,-0.7882,-1.9202,-0.6026,0.2041,1.6132,0.279,-0.6641,-0.7484,-1.0438,-0.0028833
-0.012654,-0.011411,-0.011467,-0.0068432,-0.010643,-0.0056331,-0.013048,-0.016222,-0.032525,0.00087692,-0.011536,0.0061554,-0.0045398,4.46E-06,0.0038385,-0.049096,-0.011522,-0.000722,0.018961,3.5,-1,-0.061,0.001679,0.00088925,0.3,0,0.011574,0.095818,0.069077,0.1156,0.017835,-0.0027187,-0.0069405,-0.0055564,-0.007309,-0.007023,-0.0099743,-0.0028138,0.00025639,-0.00089542,-0.0018219,-0.00037538,0.0019798,0,-0.2,-0.2,-0.0022974,0.00081158,0.00028889,-0.1,-2.8,-0.16237,0.17379,0.10638,-0.4403,-0.11995,-0.35354,0.0032304,-0.23008,-0.65042,-0.20843,1.8,3.4,2.5,1.4,0,0.0046419,0.0012296,0.0041427,0.0074959,0.036277,0.037035,-0.11,0.0037477,-0.53,-0.83,-0.84,-0.85,-0.2,-0.45,-0.37,-0.01,-0.02,-0.03,0.0017905,-0.0011874,0.0044889,0,0,0.0032415,-0.013072,-4.4,0.0013518,0,0,0,0,-0.0026212,0,0,0,0,-0.0038685,0,0,0,0,-0.0039139,-0.013897,-0.001998,-0.014337,-0.016061,-0.0091249,-0.002176,0.0021614,-0.0069342,-0.4,-0.86,-0.58,0.04,0.83,0.8,1.13,1.94,1.49,0.0070722,-0.046091,0.008639,-0.0080244,-0.0015827,-0.01005,-0.0035149,0.003992,-0.00060846,-1.2475,-0.5251,-1.6221,-1.1064,-5.7775,-1.1942,0.7238,-0.1183,-1.9005,-0.0084738
-0.0034793,-0.0057587,-0.0057852,-0.0091956,-0.038793,0.0022591,-0.012109,0.0011652,0.0058894,-0.0083229,-0.0023224,0.0097697,0.024721,-0.063208,-0.0051164,-0.039308,0.0011609,0.0010107,-0.033558,-0.3,-1,-0.032,-0.003922,-0.0063574,0.1,0.7,-0.016827,0.0016906,0.075529,0.12888,0.01005,-0.0011768,-0.0036449,-0.028104,0.00099983,-0.0034328,-0.004748,-0.0015667,0.00074032,-0.00044801,0.00063248,0.00044686,0.0031596,0.0011853,0.1,0,-0.00080994,0.00054069,0.00086618,-0.1,2.4,-0.2033,0.12452,0.052309,-0.47521,-0.1496,-0.31163,0.22182,-0.17973,-0.71192,-0.19445,-0.7,-3.5,1,-2,0.0042888,0.0059367,0.0025772,0.009964,0.0061409,-0.025112,-0.030091,0.09,-0.024615,-0.09,-0.16,-0.03,-0.16,-0.25,-0.38,-0.33,-0.04,-0.04,-0.04,-0.0026323,0.0020467,-0.0039778,0.0029895,0.0029718,-0.0032415,0,-2.7,-0.0020284,0.0021858,0,0.0044944,-0.0029806,0,0.004158,0.0033727,0,0,0.0019361,0,0,0.0075472,0,-0.0039293,-0.0021552,0.013903,-0.0045228,-0.0086084,-0.0025031,-0.00034768,-0.0054122,0.00099354,-0.3,-0.93,-0.52,-0.03,0.67,0.56,1.18,1.99,1.54,0.0035174,-0.048319,-0.0039467,-0.034062,0.01207,0.021649,0,0.0079365,0.040554,-0.4961,-0.8658,-0.3329,-5.3866,2.5773,-0.6596,1.3104,-1.0414,-0.0374,-0.0028752
-0.0011599,-0.002312,0,0.0023084,0.011062,0,-0.013374,-0.0046769,-0.0058894,-0.0052683,-0.004661,0.0036386,-0.0077992,0.016183,0.0063878,-0.036282,-0.0081368,-0.0019741,0.060175,2.1,-1,-0.038,-0.00021244,0.00013251,0.1,-0.4,0.021419,0.083415,0.0064935,-0.0077072,0.024693,-0.001331,-0.0033965,0.029276,-0.0097072,-0.0034446,-0.0031039,-0.0039274,0.00096728,-8.96E-05,0.0086286,-0.00087604,0.0027564,0.0035474,-0.3,0,-0.00057103,0.00027023,-0.00057737,-0.1,1.5,-0.087463,0.26997,-0.02583,-0.27986,0.01642,-0.31665,0.17028,-0.1533,-0.70449,-0.20141,3.9,9.9,2.2,-2.8,0.0078153,0.0091654,0.0024728,0.0076115,0.0034061,0.011927,0.011912,-0.06,0.049855,-0.25,0,-0.12,-0.25,-0.1,-0.22,-0.17,-0.13,-0.14,-0.12,-0.0027409,0.00064749,-0.0088278,-0.0029895,-0.0029718,0,-0.019934,0.7,0.0020284,0,0,0,0.0029806,0,0,0,0,0.0033168,0,0,0.0044544,0.0074907,0.004662,0.0078432,-0.01303,-0.023953,-0.010023,-0.0077146,-0.010076,-0.00069572,-0.0014204,-0.0019881,-0.4,-0.68,-0.39,-0.03,0.82,0.64,1.3,2.1,1.67,0.0021045,0.076227,0.027077,-0.0018094,0.0026048,0.0016461,0,0.0078741,-0.03026,-0.677,-0.7743,-0.5839,0.9657,0.0065,-1.3806,-0.8586,-0.7218,-4.6553,-0.0020539
-0.01052,-0.0081363,-0.0058149,-0.004619,-0.012297,-0.0033906,-0.0090194,-0.016548,-0.013074,-0.007081,-0.010572,0.0084375,0,0.023182,0.0012698,0.022831,-0.0046763,0.00048186,-0.0048356,-0.3,-1,-0.009,0.0056295,0.0022666,-0.1,0.7,-0.040321,-0.059217,0.057638,-0.0019361,0.12803,-0.0014421,-0.0025156,-0.0066123,-0.0047202,-0.001955,-0.0024455,-0.00126,0.00011374,-0.0015249,-0.0056946,-0.00021466,0.0023566,0.0025934,-0.2,-0.1,-0.00081106,0.00027016,-0.00028881,-0.3,-3.4,-0.29053,0.10411,0.0054773,-0.50092,-0.4251,-0.32676,0.15576,-0.19775,-0.72696,-0.17043,-2.2,-5.1,-0.7,1.7,-0.00070796,0.0048757,0.0035394,0.0062092,0.0070577,-0.030545,-0.033925,0.12,-0.0067094,-0.38,0.18,0.24,0.12,0,0.02,-0.01,-0.03,-0.07,-0.02,0.00056285,0.00088139,0.0027799,0,0.0029718,0,0.006689,-2.2,0,0.002181,-0.006734,0.0044743,0,-0.0052632,0.0041408,0,0,0,-0.0097182,0,0.0044346,0,0.0046404,-0.0078432,-0.0087816,-0.006079,-0.010124,-0.0097277,-0.012739,-0.00085872,0,-0.016048,-1.4,-0.12,0.23,0.47,1.2,1.01,1.65,2.41,2.03,0.0048934,-0.037388,-0.0017074,-0.0019135,0.0046717,0.00982,0.0035149,0.0078125,0.00060223,-1.1318,-0.5979,-1.675,0.8669,-0.3149,-0.1254,0.1259,-0.814,-2.2468,0.0036034
-0.0011774,0.005819,0.004653,0.010362,0.011075,0.010132,-0.0079645,-0.003583,-0.012029,-0.0060486,-0.0011811,0.0011983,0.0055761,0.017933,0.036237,-0.0033919,0.0035104,0.0031745,-0.075201,1.2,-2,-0.091,-0.0096287,-0.0052358,0.6,0.6,0.051711,0.055325,0.19128,0.18844,0.19441,-0.0020137,-0.005525,-0.001623,-0.0010144,-0.0064789,-0.0092805,-0.0025249,0.0005969,-0.00053874,-0.0017445,0.0010013,-0.00039239,0.0009414,0.3,0.1,-0.0015502,0.00081004,0.0017316,0.4,3.5,-0.16318,0.49224,-0.065474,-0.49573,-0.13962,-0.33903,0.11086,-0.14464,-0.73075,-0.21905,0.6,-0.4,-1.1,-1.1,-0.0021269,0.0035605,0.0013879,0.0061709,0.0044429,-0.019901,-0.018458,0.05,-0.014176,-0.13,-0.18,-0.1,-0.03,0.09,0.1,0.15,0.05,0.1,0.04,0.0017959,-0.00040289,0.0062523,0.0089419,0.0088627,0,0.0066445,-3.4,0.004717,0.0021763,0,0,0.0029718,0,0,0,0.0031898,0.0033058,0,0.0065574,0.004415,0.0037244,0,0.011742,0,0.006079,-0.0018519,-0.0039177,0.0025608,0.00032501,0,-0.007103,-1.3,-0.17,0.26,0.57,1.42,1.29,1.83,2.64,2.2,0.00069711,-0.10008,-0.017746,-0.027077,0.0082517,0.014552,0.0035026,0.007752,0.014346,-0.39,0.1729,-0.3176,0.4921,0.8102,-0.433,-1.6322,-0.8038,-0.4152,0.005597
